Município,Área (km²),"Densidade demográfica, 2000",Distância à capital (km),"Esperança de vida ao nascer, 2000","Mortalidade até um ano de idade, 2000","Taxa de fecundidade total, 2000","Percentual de pessoas de 25 anos ou mais analfabetas, 2000","Renda per Capita, 2000","Índice de Gini, 2000","Intensidade da indigência, 2000","Intensidade da pobreza, 2000","Índice de Desenvolvimento Humano Municipal, 2000","Taxa bruta de freqüência à escola, 2000","Taxa de alfabetização, 2000","Média de anos de estudo das pessoas de 25 anos ou mais de idade, 2000","População de 25 anos ou mais de idade, 1991","População de 25 anos ou mais de idade, 2000","População de 65 anos ou mais de idade, 1991","População de 65 anos ou mais de idade, 2000","População total, 1991","População total, 2000","População urbana, 2000","População rural, 2000",Estado,Grupo
Nova Iguaçu de Goiás (GO),630.7,4.4,265.9699166,67.63,27.56,2.73,22.46,182.95,0.63,45.27,42.97,0.723,79.72,82.48,3.56,1333,1401,103,168,3186,2746,1626,1120,GO,Grupo 1
Nova Independência (SP),266.0,7.7,567.9968432,70.77,16.72,2.02,21.85,175.36,0.5,53.36,43.32,0.737,79.88,82.04,4.62,962,1169,125,197,1994,2063,1504,559,SP,Grupo 1
Nova Iorque (MA),968.0,4.6000000000000005,468.028009,58.71,67.2,3.55,45.36,74.07,0.63,60.12,63.63,0.574,75.09,63.02,2.86,1949,2000,267,304,4934,4543,2597,1946,MA,Grupo 1
Nova Ipixuna (PA),1609.8,7.4,390.2422637,68.05,33.95,4.11,36.79,127.26,0.6,42.82,48.26,0.664,67.59,70.06,2.9,2765,4514,204,419,8079,11866,5207,6659,PA,Grupo 1
Nova Itaberaba (SC),135.7,31.4,427.3194408,69.81,26.47,2.82,15.84,231.3,0.59,48.64,48.01,0.759,84.0,85.31,4.13,1719,2215,132,246,3870,4256,425,3831,SC,Grupo 1
Nova Itarana (BA),458.0,14.6,168.802923,57.82,71.27,4.28,45.11,72.82,0.57,55.55,56.68,0.568,71.64,64.42,2.06,2577,2765,446,476,6636,6592,2497,4095,BA,Grupo 1
Nova Lacerda (MT),5091.900000000001,0.8,396.8982686,68.17,31.36,2.7,25.41,228.71,0.67,72.49,56.14,0.719,69.93,78.88,3.43,1031,1923,55,92,2682,4045,1834,2211,MT,Grupo 1
Nova Laranjeiras (PR),1191.9,9.8,328.3927243,66.48,26.99,3.22,19.21,151.39,0.67,61.13,60.29,0.697,70.66,82.91,3.64,4363,5382,389,639,10387,11699,1813,9886,PR,Grupo 1
Nova Lima (MG),429.7,149.6,21.96279932,70.57,26.96,2.0,6.04,404.75,0.64,51.73,39.19,0.821,89.08,94.73,6.78,25327,34462,2478,3523,52400,64387,63035,1352,MG,Grupo 1
Nova Londrina (PR),269.6,48.9,478.775519,68.56,21.87,2.57,15.46,262.24,0.56,43.22,35.53,0.762,80.81,88.4,5.48,5830,6798,555,824,12854,13169,11604,1565,PR,Grupo 1
