Município,Área (km²),"Densidade demográfica, 2000",Distância à capital (km),"Esperança de vida ao nascer, 2000","Mortalidade até um ano de idade, 2000","Taxa de fecundidade total, 2000","Percentual de pessoas de 25 anos ou mais analfabetas, 2000","Renda per Capita, 2000","Índice de Gini, 2000","Intensidade da indigência, 2000","Intensidade da pobreza, 2000","Índice de Desenvolvimento Humano Municipal, 2000","Taxa bruta de freqüência à escola, 2000","Taxa de alfabetização, 2000","Média de anos de estudo das pessoas de 25 anos ou mais de idade, 2000","População de 25 anos ou mais de idade, 1991","População de 25 anos ou mais de idade, 2000","População de 65 anos ou mais de idade, 1991","População de 65 anos ou mais de idade, 2000","População total, 1991","População total, 2000","População urbana, 2000","População rural, 2000",Estado,Grupo
Nova Resende (MG),395.0,35.0,294.8705371,68.48,33.46,2.56,17.85,250.94,0.5,37.57,30.75,0.727,56.84,85.84,3.95,5594,7256,700,885,11742,13887,7118,6769,MG,Grupo 1
Nova Roma (GO),2143.9,1.7,413.8744679,66.78,30.02,3.56,27.38,103.79,0.59,49.72,52.1,0.679,78.93,79.29,3.31,1857,1764,212,237,4715,3717,1341,2376,GO,Grupo 1
Nova Roma do Sul (RS),152.5,20.1,117.1693603,74.1,12.89,2.1,5.22,337.29,0.43,20.0,15.76,0.83,86.64,95.79,5.25,1782,1979,211,349,2959,3032,1199,1833,RS,Grupo 1
Nova Rosalândia (TO),490.2,6.5,77.51591584,66.1,39.85,2.92,22.66,140.08,0.64,52.61,49.16,0.709,91.24,81.06,4.42,1066,1482,138,223,2639,3190,2435,755,TO,Grupo 1
Nova Russas (CE),741.4,39.6,249.4237725,65.46,49.65,3.33,41.83,103.07,0.63,50.31,54.23,0.64,80.81,64.24,2.94,12000,13892,2001,2645,28509,29347,20844,8503,CE,Grupo 1
Nova Santa Bárbara (PR),75.2,48.0,250.8284252,65.78,28.86,2.43,25.83,172.41,0.59,41.7,41.29,0.701,77.7,79.7,4.35,1686,1910,182,263,3727,3611,2871,740,PR,Grupo 1
Nova Santa Rita (PI),1133.1,3.7,343.2685133,56.17,79.28,2.77,43.26,48.41,0.53,54.69,63.63,0.54,79.1,62.68,1.85,1268,1738,135,209,3563,4150,402,3748,PI,Grupo 1
Nova Santa Rita (RS),218.1,72.10000000000001,20.01073638,71.48,18.06,2.8,9.71,278.98,0.51,54.59,41.07,0.789,79.45,91.95,5.55,4890,8235,483,819,9869,15750,11550,4200,RS,Grupo 1
Nova Santa Rosa (PR),207.7,34.300000000000004,483.4546087,72.36,14.06,2.37,5.73,261.16,0.51,35.56,33.09,0.806,88.11,95.11,5.4,3540,4086,401,603,7042,7125,3897,3228,PR,Grupo 1
Nova Serrana (MG),283.90000000000003,131.8,107.646309,75.37,14.62,2.16,11.12,371.11,0.62,42.59,31.5,0.801,56.61,92.21,4.79,8033,17539,574,1057,17913,37447,35321,2126,MG,Grupo 1
Nova Soure (BA),672.0,36.3,193.1505175,62.75,50.43,3.37,46.63,72.9,0.61,54.27,61.96,0.596,77.13,62.0,2.39,9555,10823,1528,1893,24674,24405,10869,13536,BA,Grupo 1
Nova Tebas (PR),553.9,17.1,290.8388374,68.65,21.64,3.07,33.1,121.52,0.57,52.72,54.95,0.689,77.96,75.92,3.23,6655,4475,571,617,17587,9476,3164,6312,PR,Grupo 1
Nova Timboteua (PA),492.1,23.2,127.2674584,64.87,45.39,3.29,29.38,98.63,0.5,40.57,47.75,0.646,72.64,74.06,3.76,3704,4973,508,688,9427,11406,4985,6421,PA,Grupo 1
Nova Trento (SC),398.9,24.7,51.04905149,76.04,11.49,2.17,7.17,283.63,0.45,50.46,36.35,0.815,76.0,93.61,5.3,4234,5610,527,789,8346,9852,6673,3179,SC,Grupo 1
Nova Ubiratã (MT),12770.0,0.4,303.3318927,74.37,14.79,3.18,16.13,290.33,0.6,73.56,52.37,0.779,62.62,87.86,4.1,1103,2576,27,76,2661,5654,1635,4019,MT,Grupo 1
Nova União (RO),804.1,10.2,279.7706194,65.84,31.34,2.52,24.19,124.54,0.57,50.03,52.06,0.68,70.03,82.26,3.04,2391,3456,148,259,6725,8233,1329,6904,RO,Grupo 1
Nova União (MG),172.0,31.6,41.77816198,66.36,40.83,2.96,24.21,153.32,0.57,37.41,40.49,0.7,73.92,82.52,3.76,2093,2709,276,379,4865,5427,1429,3998,MG,Grupo 1
Nova Veneza (SC),290.6,39.6,148.3416346,73.73,16.34,2.09,5.35,320.52,0.47,58.67,31.56,0.813,77.35,94.98,5.6,5004,6135,542,725,10384,11511,7199,4312,SC,Grupo 1
Nova Veneza (GO),123.8,51.5,35.00541206,68.35,25.56,2.24,20.02,169.98,0.5,41.56,36.87,0.732,82.76,84.9,4.8,2433,3434,267,404,5003,6414,5354,1060,GO,Grupo 1
Nova Venécia (ES),1430.0,30.1,178.8027419,67.26,31.21,2.42,20.35,220.08,0.59,37.48,39.5,0.738,79.99,85.62,4.91,16976,21582,1666,2521,39243,43015,27390,15625,ES,Grupo 1
Nova Viçosa (BA),1330.4,24.1,554.5383882,63.76,46.7,3.4,37.54,125.74,0.63,50.42,53.49,0.658,81.25,71.6,3.29,9653,13475,1019,1592,25570,32076,24636,7440,BA,Grupo 1
Nova Xavantina (MT),5763.5,3.1,414.4833643,69.1,27.9,3.28,16.3,239.03,0.59,50.73,35.23,0.76,87.89,84.62,5.01,7015,8794,451,831,17199,17832,14506,3326,MT,Grupo 1
Novais (SP),117.3,27.4,368.4674462,72.36,13.79,2.49,18.58,182.89,0.48,56.59,40.51,0.759,81.08,86.19,4.08,1475,1739,163,254,3090,3225,2669,556,SP,Grupo 1
Novo Acordo (TO),2539.3,1.2,75.26751284,65.28,42.69,2.83,23.32,100.55,0.73,70.45,64.99,0.677,81.34,82.19,3.97,876,1205,109,148,2292,3057,1968,1089,TO,Grupo 1
Novo Airão (AM),37940.2,0.3,115.1479982,64.95,47.45,4.88,28.79,93.27,0.58,54.25,54.73,0.656,71.77,79.83,3.65,4749,3432,174,379,14024,9651,6984,2667,AM,Grupo 1
Novo Alegre (TO),131.9,17.2,361.9357895,62.72,52.17,3.07,22.54,140.38,0.6,57.29,51.38,0.694,88.29,84.02,4.32,689,1000,64,116,1864,2274,1806,468,TO,Grupo 1
Novo Aripuanã (AM),41571.3,0.4,227.7749942,66.26,42.43,4.96,34.32,70.15,0.65,55.97,63.27,0.624,68.4,71.18,3.06,4037,5751,449,658,11634,17119,9054,8065,AM,Grupo 1
Novo Barreiro (RS),123.8,31.2,298.3766112,75.12,11.1,2.46,12.52,153.57,0.51,36.74,44.73,0.767,81.72,87.26,4.23,2019,2186,249,334,4079,3867,820,3047,RS,Grupo 1
Novo Brasil (GO),652.2,6.4,171.0845757,65.04,35.47,2.42,22.6,182.69,0.53,44.16,36.19,0.712,84.58,81.95,4.15,2296,2359,226,286,4798,4181,2571,1610,GO,Grupo 1
Novo Cabrais (RS),193.8,18.4,168.7987316,69.52,22.5,2.2,14.48,159.97,0.51,35.09,41.99,0.729,73.61,87.06,4.06,2073,2133,272,327,3693,3565,314,3251,RS,Grupo 1
Novo Cruzeiro (MG),1706.2,17.8,340.7794038,64.19,49.22,3.7,51.87,125.1,0.57,53.63,59.4,0.629,74.47,61.01,2.22,11952,12586,1289,1907,30748,30453,8378,22075,MG,Grupo 1
Novo Gama (GO),192.3,386.4,146.7186665,68.58,24.95,2.84,14.94,186.67,0.53,59.14,44.67,0.742,80.1,88.14,5.22,18620,31323,915,1585,48939,74380,73026,1354,GO,Grupo 1
Novo Hamburgo (RS),216.0,1092.8,40.58498511,70.11,21.11,2.18,6.03,390.95,0.55,54.8,38.14,0.809,81.72,94.99,6.5,107139,128802,8422,12441,211972,236193,231989,4204,RS,Grupo 7
Novo Horizonte (BA),614.8000000000001,13.8,396.5366472,67.84,33.11,2.28,36.79,98.5,0.63,64.53,63.37,0.658,72.45,71.82,2.4,4305,4187,791,808,10184,8502,2000,6502,BA,Grupo 1
Novo Horizonte (SP),935.3,34.7,351.8889015,75.5,8.85,1.9,14.39,299.46,0.49,41.75,34.23,0.808,80.27,88.64,5.48,15896,18812,2023,2786,30446,32432,28917,3515,SP,Grupo 1
Novo Horizonte (SC),151.4,20.4,443.0700961,68.1,31.71,2.85,12.89,222.62,0.54,39.51,40.41,0.752,84.43,87.29,3.97,1534,1699,121,188,3354,3101,723,2378,SC,Grupo 1
Novo Horizonte do Norte (MT),916.4,3.8,484.1803908,68.76,28.89,2.55,26.35,156.62,0.52,42.67,43.31,0.702,70.37,79.13,3.73,1287,1752,59,183,3154,3511,1489,2022,MT,Grupo 1
Novo Horizonte do Oeste (RO),833.5,14.7,387.1197405,65.89,31.2,2.92,24.05,210.71,0.65,56.79,53.79,0.707,66.86,82.48,3.17,4166,5368,244,413,11419,12276,1344,10932,RO,Grupo 1
Novo Horizonte do Sul (MS),851.2,7.5,260.3476775,69.65,26.51,2.67,23.81,123.74,0.54,48.1,47.78,0.71,80.25,81.15,3.43,3034,2952,133,231,8403,6415,2326,4089,MS,Grupo 1
Novo Itacolomi (PR),159.3,18.0,291.772137,69.27,20.26,2.23,27.9,133.5,0.47,30.91,39.02,0.706,79.59,78.91,4.14,1659,1621,182,238,3438,2866,1258,1608,PR,Grupo 1
Novo Jardim (TO),1314.9,1.6,261.7034171,64.32,46.11,3.94,34.88,96.81,0.59,55.18,54.16,0.652,80.12,74.49,2.92,505,841,56,107,1377,2151,1373,778,TO,Grupo 1
Novo Lino (AL),186.5,55.6,84.00723826,58.35,72.27,4.38,58.77,65.1,0.55,54.28,58.32,0.534,69.54,51.73,2.11,5022,4076,542,531,14553,10375,5341,5034,AL,Grupo 1
Novo Machado (RS),223.1,21.1,419.9034585,72.62,15.71,2.25,7.44,180.0,0.51,40.88,43.93,0.773,79.11,92.98,4.55,2838,2947,359,463,5235,4718,1496,3222,RS,Grupo 1
Novo Mundo (MT),5811.3,0.9,634.8958936,67.39,33.08,3.05,16.18,204.06,0.63,59.41,48.18,0.732,73.86,87.42,3.88,1832,2472,84,110,4489,4997,1909,3088,MT,Grupo 1
Novo Oriente (CE),951.1,27.4,319.0915713,65.46,49.65,3.31,54.59,78.53,0.59,55.85,59.81,0.602,83.25,52.94,2.01,10479,11842,1365,1786,26792,26119,12709,13410,CE,Grupo 1
Novo Oriente de Minas (MG),756.6,13.1,393.1138605,62.65,55.74,3.9,57.13,80.07,0.6,61.37,62.1,0.582,69.65,57.36,1.97,4335,4442,544,776,10816,9974,3836,6138,MG,Grupo 1
Novo Oriente do Piauí (PI),505.7,13.4,178.7204881,63.8,46.54,2.77,46.67,79.02,0.55,57.05,58.06,0.603,73.71,62.11,2.29,2705,3125,391,503,6752,6760,3333,3427,PI,Grupo 1
Novo Planalto (GO),1247.2,2.7,382.6392319,67.7,27.36,2.67,24.23,149.18,0.54,43.19,41.46,0.715,87.2,80.2,4.0,1712,1650,150,176,4394,3432,2925,507,GO,Grupo 1
Novo Progresso (PA),38322.0,0.7000000000000001,990.0820912,73.27,18.95,3.5,21.69,229.46,0.54,64.99,53.31,0.76,63.43,87.53,3.5,7029,13402,295,322,18407,24948,9628,15320,PA,Grupo 1
Novo Repartimento (PA),15464.1,2.7,350.1652532,65.15,44.31,4.27,40.27,91.61,0.66,57.73,61.33,0.626,67.53,68.61,2.56,10623,15023,515,1032,31585,41817,15524,26293,PA,Grupo 1
Novo Santo Antônio (PI),547.1,5.8,98.67714715,55.8,81.14,3.58,55.22,42.75,0.51,56.87,63.99,0.509,71.78,56.08,1.6,1239,1406,152,205,3259,3155,307,2848,PI,Grupo 1
Novo São Joaquim (MT),8651.7,1.1,338.8720072,69.1,27.9,2.77,20.16,243.99,0.66,60.11,47.12,0.743,73.06,83.85,3.99,2740,4475,107,283,7170,9464,4149,5315,MT,Grupo 1
Novo Tiradentes (RS),73.7,32.4,333.8423939,73.41,14.17,2.89,18.15,126.73,0.52,40.99,51.58,0.739,81.53,83.73,4.25,1315,1363,126,198,2711,2412,564,1848,RS,Grupo 1
Novo Triunfo (BA),139.70000000000002,97.6,295.1337527,58.87,66.48,3.08,44.26,61.9,0.51,45.75,58.62,0.581,85.36,65.23,2.6,4416,6264,558,871,11080,13599,5247,8352,BA,Grupo 1
Novorizonte (MG),267.8,17.2,452.8526022,65.91,42.48,3.22,36.1,94.65,0.54,50.81,51.04,0.648,74.55,72.04,2.26,1866,2156,272,384,4503,4610,1242,3368,MG,Grupo 1
Nuporanga (SP),348.0,18.1,332.6908872,69.58,19.09,2.05,10.15,298.67,0.52,64.11,35.8,0.784,80.94,92.25,5.17,2976,3577,335,505,5789,6309,5073,1236,SP,Grupo 1
Ocara (CE),775.2,27.7,86.21487226,63.89,56.1,3.85,49.02,56.83,0.59,62.19,61.72,0.594,87.02,59.49,2.47,7698,9522,1160,1524,19828,21584,6372,15212,CE,Grupo 1
Ocauçu (SP),301.0,13.8,358.0891996,72.16,14.16,2.74,17.11,237.03,0.53,38.33,32.21,0.765,74.54,86.28,4.58,2154,2274,251,322,4311,4164,2914,1250,SP,Grupo 1
Oeiras (PI),2749.0,12.3,227.5459828,61.45,55.53,2.52,41.1,109.04,0.65,50.46,53.86,0.625,80.03,66.94,3.26,12130,15085,1626,2180,32072,33910,19629,14281,PI,Grupo 1
Oeiras do Pará (PA),3931.8,5.9,161.7944964,67.29,36.52,5.19,33.54,71.78,0.53,34.83,50.84,0.652,76.81,76.4,2.79,5590,7295,743,794,18792,23255,7980,15275,PA,Grupo 1
Oiapoque (AP),22725.7,0.6,431.238393,66.74,34.26,4.99,19.59,257.93,0.67,42.89,47.8,0.738,79.5,82.81,4.89,2573,4651,207,257,7555,12886,7842,5044,AP,Grupo 1
Olaria (MG),178.9,12.9,227.1378494,66.09,41.82,2.14,22.34,141.76,0.52,36.46,40.53,0.69,69.63,82.97,3.36,1135,1292,149,184,2283,2304,844,1460,MG,Grupo 1
Olho-d'Água do Borges (RN),151.5,29.4,276.5878958,66.74,43.52,2.61,43.66,84.17,0.54,55.92,54.3,0.631,82.9,60.98,3.49,2043,2326,358,428,4576,4461,3176,1285,RN,Grupo 1
Olho d'Água (PB),652.6,12.0,318.6509349,59.77,62.53,2.4,46.04,53.93,0.61,62.35,67.17,0.559,78.05,59.77,2.88,3032,3326,361,453,8478,7831,3495,4336,PB,Grupo 1
Olho d'Água das Cunhãs (MA),577.4,24.8,181.5562388,60.09,61.12,3.31,50.66,82.01,0.58,48.55,55.36,0.571,70.29,57.94,2.58,4325,6137,499,868,12256,14377,8441,5936,MA,Grupo 1
Olho d'Água das Flores (AL),184.3,105.3,171.4191521,62.98,51.44,4.18,43.53,92.29,0.64,53.67,60.04,0.606,75.18,60.81,3.25,6033,8072,953,1181,15653,19417,12996,6421,AL,Grupo 1
Olho d'Água do Casado (AL),324.1,21.8,230.4965714,60.28,63.08,4.25,52.87,50.36,0.66,71.36,70.56,0.542,80.2,51.73,2.03,2118,2684,230,325,6414,7059,3887,3172,AL,Grupo 1
Olho d'Água do Piauí (PI),219.3,10.4,87.25325148,63.1,49.14,2.82,49.61,62.58,0.53,48.8,58.19,0.582,78.25,58.22,2.85,967,984,143,131,2431,2283,943,1340,PI,Grupo 1
Olho d'Água Grande (AL),119.0,40.7,126.209945,64.4,45.88,4.57,59.76,48.35,0.69,71.4,73.79,0.544,71.25,47.47,1.9,1565,1897,204,223,4413,4847,1077,3770,AL,Grupo 1
Olhos-d'Água (MG),1982.9,2.2,271.9178932,71.53,24.22,3.05,41.19,77.93,0.51,46.52,50.93,0.669,76.45,71.59,2.54,1314,1778,99,183,3581,4284,1890,2394,MG,Grupo 1
Olinda (PE),38.1,9675.7,5.76090897,72.32,29.08,1.85,11.36,257.41,0.61,50.67,45.21,0.792,86.61,90.07,7.26,158747,195286,15745,22093,339227,367902,360554,7348,PE,Grupo 3
Olinda Nova do Maranhão (MA),200.2,50.6,92.93893122,61.19,56.56,3.9,38.37,54.96,0.55,53.38,64.86,0.596,81.17,70.93,2.82,3159,3854,395,479,8919,10128,3415,6713,MA,Grupo 1
Olindina (BA),540.4,44.2,179.2820518,59.37,64.25,3.62,39.97,86.11,0.56,39.95,51.58,0.593,75.08,65.93,2.75,8169,10419,1243,1539,21462,23909,11152,12757,BA,Grupo 1
Olivedos (PB),282.1,11.3,152.917475,63.16,48.88,2.67,38.51,85.75,0.52,44.39,50.77,0.627,81.51,68.54,2.85,1431,1591,252,299,3392,3194,1360,1834,PB,Grupo 1
Oliveira (MG),899.0,41.4,133.3589624,71.99,22.95,1.86,11.59,236.96,0.55,36.66,34.11,0.77,71.51,90.39,5.23,16028,20303,1959,2772,32222,37250,32213,5037,MG,Grupo 1
